数据库：分省年度数据,,,,,,,,,,,,,,
指标：天然气储量(亿立方米),,,,,,,,,,,,,,
时间：最近20年,,,,,,,,,,,,,,
地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年
四川省,13191.61,12654.5,11708.56,11874.38,9351.09,7973.07,6763.11,6487,6061.6,5915.73,5462.78,4295.08,3147.84,2032.83
新疆维吾尔自治区,10251.78,10202,9746.2,9053.88,9324.37,8809.93,8616.43,8354.1,7543.69,6676.33,6598.24,6023.6,5675.35,5554.76
内蒙古自治区,9630.49,8149.1,8098.14,8042.54,8344.3,8040.48,7149.44,6721.3,5635.41,3266.44,1643.04,3970.45,3969.41,3967.18
陕西省,7802.5,7587.1,8047.88,6231.14,6376.26,5478,5628.11,5658.7,5709.24,7435.39,8587.65,5450.02,4692.05,3611.66
重庆市,2726.9,2641.8,2456.55,2472.83,1928.31,1955.33,1921.02,1969.8,1558.82,1206.57,1135.76,1219.5,1127.32,1043.32
青海省,1354.44,1396.9,1457.94,1511.79,1281.6,1329.11,1321.89,1377.3,1418.49,1462.08,1496.1,1525.31,1544.36,1260.15
黑龙江省,1302.33,1317.9,1344.51,1353.93,1381.51,1407.46,1454.98,1338,1366.3,1391.39,935.83,903.8,449.99,467.83
吉林省,731.25,685,667.81,756.35,776.22,827.29,681.26,677,690.33,670.18,167.84,199.88,181.34,171.33
山西省,413.75,419.1,75.95,,,,,,,,,,,
河北省,338.03,317,324.49,325.86,315.37,333.1,359.32,294,303.9,302.66,240.59,179.45,176.42,182.11
山东省,334.93,342.4,348.35,357.9,345.9,379.2,366.99,353.8,349.43,348.18,348.36,277.08,283.25,285.54
甘肃省,318.03,272,256.09,241.28,224.58,191.63,191.8,163.6,106.13,106.51,98.91,97.48,83.81,67.25
天津市,274.91,274.3,278.53,279.79,278.78,273.66,288.64,311.1,314.2,318.62,275.75,367.37,349.21,347.29
宁夏回族自治区,274.44,272.9,272.76,294.4,294.96,2.54,2.75,2.2,2.18,1.68,1.67,0.47,0.83,0.74
辽宁省,154.54,149.9,156.57,169.46,178.54,194.82,209.43,187.1,197.41,209.21,202.91,500.35,498.88,228.17
河南省,74.77,72.2,70.79,72.09,75.08,98.51,99.21,84.1,98.83,97.22,110.42,161.25,172,173.71
湖北省,46.87,47.4,4.42,48.79,49.68,4.57,4.68,4.4,4.19,3.76,3.85,39.2,40.44,40.94
海南省,24.35,3.1,3.69,-3.45,-1.29,-4.24,0.7,2.5,4.4,6.87,8.9,10.95,12.57,13.84
江苏省,23.31,23.2,24.02,24.3,24.35,24.04,23.66,22.6,22.47,22.85,22.71,24.47,24.55,24.48
贵州省,6.1,6.1,6.31,6.39,5.44,10.5,10.61,4.5,4.53,4.54,4.61,9.87,10.41,11.05
广西壮族自治区,1.58,1.4,1.32,1.32,1.24,3.38,3.39,3.4,3.41,3.43,3.48,8.45,8.49,8.62
广东省,0.59,0.5,0.5,0.5,0.3,0.3,0.31,0.3,0.31,0.31,0.31,0.31,0.31,0.31
云南省,0.47,0.5,0.8,0.8,2.24,2.32,2.41,2.5,2.63,2.79,2.86,14.5,14.72,14.96
安徽省,0.25,0.3,0.26,0.24,0.3,0.15,0.06,,0.04,0.04,0.02,0.01,,0.01
注：天然气的数据为剩余技术可采储量。,,,,,,,,,,,,,,
数据来源：国家统计局,,,,,,,,,,,,,,
