系列 Name,系列 Code,国家 Name,国家 Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
货柜码头吞吐量（TEU： 20 英尺当量单位）,IS.SHP.GOOD.TU,中国,CHN,41000000,44726084,55717488,61898336,74725444,67245263,84810503,103823024,115941970,108799933.7248,142970010,157422311,166510600.5,175936350.5,186679050.5,195276750.5,199551750.5,213719924.7855,..,..
货柜码头吞吐量（TEU： 20 英尺当量单位）,IS.SHP.GOOD.TU,日本,JPN,13100000,13127144,13501420,15055696,16436146,17055082,18469710,19164522,18943606,16285918,19547865,19169505.05,20833791,21049617,21139091,20577013.25,20784617,21904443,..,..
货柜码头吞吐量（TEU： 20 英尺当量单位）,IS.SHP.GOOD.TU,美国,USA,28300000,27307576,29676890,32689484,34901628,38497839,40896742,44839390,42411770.0512,37353574.903,42058000,42537745,43637315,44427127,47849621,49527457,50181793.5,51425466,..,..
货柜码头吞吐量（TEU： 20 英尺当量单位）,IS.SHP.GOOD.TU,中国香港特别行政区,HKG,..,..,..,..,..,22601630,23538580,23998449,24494229,21040096,23600000,24404000,23100000,22290000,22300000,20114000,19580000,20770000,..,..
货柜码头吞吐量（TEU： 20 英尺当量单位）,IS.SHP.GOOD.TU,大韩民国,KOR,9030174,9287221,11719500,13049534,14363194,15113275,15513935,17086133,17417723,15699663.2754,19456000,21543000,22617900,23711000,24818667.4666667,25354352.1888889,26152976.6301852,27427000,..,..
货柜码头吞吐量（TEU： 20 英尺当量单位）,IS.SHP.GOOD.TU,英国,GBR,6434734,7058054,7059610,6700066,8326913,8249587,8434458,8625102,8236522.8864,7671299.96069216,7861006,8403686,7833521,8159718,9360203,9596908,9765908,10530328,..,..
货柜码头吞吐量（TEU： 20 英尺当量单位）,IS.SHP.GOOD.TU,加拿大,CAN,2927942,2890388,3307310,3631072,3926147,4163424,4330163,4413927,4720663,4191568.063,4780790,4845509,5224043,5249457,5426175,5793852,5838484,6298590,..,..
货柜码头吞吐量（TEU： 20 英尺当量单位）,IS.SHP.GOOD.TU,德国,DEU,7695688,8426520,9252670,10943452,12479419,13598987,15009691,16644222,17183042.1168,13296300.2124179,14715340,18744981,18931700,19261033.3333333,20128033.3333333,19139033.3333333,19364033.3333333,19447600,..,..
货柜码头吞吐量（TEU： 20 英尺当量单位）,IS.SHP.GOOD.TU,阿拉伯联合酋长国,ARE,5055801,5081964,5872240,6955202,8661636,9851709,10967048,13182412,14756127,14425039,15177436,16866912,18120112,18693112,20223612,21233200,20613200,21280900,..,..
货柜码头吞吐量（TEU： 20 英尺当量单位）,IS.SHP.GOOD.TU,意大利,ITA,6918588,7073459,7950210,8473220,9468316,9856802,9731150,10610893,10530214,9532462,8680629,9344927,9087950,10170011,10247049,10018365,10264840,10698030,..,..
货柜码头吞吐量（TEU： 20 英尺当量单位）,IS.SHP.GOOD.TU,智利,CHL,1253131,1080545,1167880,1250126,1658672,1804236,2126811,2725218,3164137,2795990.2016,3039571,3264702,3388960,3707880,3785938,3738600,3920200,4189669,..,..
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data from Database: 世界发展指标,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/28/2019,,,,,,,,,,,,,,,,,,,,,,,
