系列 Name,系列 Code,国家 Name,国家 Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
铁路客运量 （百万乘客-公里）,IS.RRS.PASG.KM,中国,CHN,..,332202,354353,369097,404627,441468,463655,480305,462279,551196,583320,635327,689618,777860,787890,791158,815699,795639,794062,807065,723006,695955,685213,..,..
铁路客运量 （百万乘客-公里）,IS.RRS.PASG.KM,英国,GBR,..,32312,34924,36517.2,38721.7,39230.1,40131.7,40683.3,40633,42025.2,44036,46444.75,49584.61,51902.8672006052,51750.5816908009,53611.0247557931,60744.56794,58636.0637,59535.7714,65196.6782,2900,..,..,..,..
铁路客运量 （百万乘客-公里）,IS.RRS.PASG.KM,美国,USA,..,8153,8314,8569,8511,8970,8965,8552,9141,8869,8660,8706,9308.594,9943.07,9517.555,10331.31,10570,10950,10960,10740.5585,10518.6946,10492,10659.8,..,..
铁路客运量 （百万乘客-公里）,IS.RRS.PASG.KM,白俄罗斯,BLR,..,11657,12909,13268,16874,17722,15264,14349,13308,13893,13568,9968,9368,8188,7401,7578,7941,8977,8998,7796,7117,6428,6295,..,..
铁路客运量 （百万乘客-公里）,IS.RRS.PASG.KM,德国,DEU,..,61537,59628,71837,72853,74021.24,73900.2,69861,69610,69997,72497,74738.2,74676.8,76929,76772.319,78582,77567,80210,79906,79339,79257,80046,77500,..,..
铁路客运量 （百万乘客-公里）,IS.RRS.PASG.KM,意大利,ITA,..,44782,43591,41392,43424,48240,47904,47177,46374,46757,47368.04784,48348.3,47217.9,46998,45590,43349.353,39368,37489,37752,38612,39290,39290,39016,..,..
铁路客运量 （百万乘客-公里）,IS.RRS.PASG.KM,日本,JPN,..,251723,247652,242808,240793,240657,241133,239246,241160,242300,245957,249029,255201,253555,301599,244591,184791,253788,260014,255881,265063.322,204024.737,197253.958,..,..
铁路客运量 （百万乘客-公里）,IS.RRS.PASG.KM,法国,FRA,..,60262,62090,64898,66944,70153,71759,74306,72942,75491,76558.8061408749,79482.6741745081,83179.3336572141,88284.31,87667.13,84859.5369786655,86052,85634,84785,83914,84682,..,..,..,..
铁路客运量 （百万乘客-公里）,IS.RRS.PASG.KM,大韩民国,KOR,..,29580,29662,28096,28356,28097,29288,28787,28562,28641,31004,31596,31596,32026,31299,33012,21603,22112,22626,23071,23450,23747,21935,..,..
铁路客运量 （百万乘客-公里）,IS.RRS.PASG.KM,西班牙,ESP,..,16622,17657,18549.1,19303,19787,20368,20733,20608,20224,21046,21241,21243.69,23343.81,22958.6,22304,22680.056,21925.1,23352.97,24557.82,25660.34,26169.09,26990.43,..,..
铁路客运量 （百万乘客-公里）,IS.RRS.PASG.KM,葡萄牙,PRT,..,4502,4563,4602,4329,3632,3692,3683,3339,3415,3412,3514.45,3677.527,3814.102,3766.027,3983.3389182139,3750,3442.91,3310.668,3518.813,3624.903,3802.76,..,..,..
铁路客运量 （百万乘客-公里）,IS.RRS.PASG.KM,波兰,POL,..,19807,19928,20553,21518,19706,18208,17310,19643,18626,16742,16971,17081,17958,16454,15715,15724,14720,12941,11865,10117,9466.3,..,..,..
铁路客运量 （百万乘客-公里）,IS.RRS.PASG.KM,印度,IND,..,341999,357013,379897,403884,430666,457022,493489,515044,541208,575702,615634,694764,769956,838032,903465,978508,1046522,1046522,1140412,1147190,1143039,1149835,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from Database: 世界发展指标,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/28/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
